bill_id,bill_type,subjects_top_term,cosponsors,num_cosponsors,num_support,enacted_as
s2180-115,s,Education,"['B001288', 'G000555', 'W000817']",3,4,0
s3052-115,s,Taxation,['R000595'],1,2,0
s1705-115,s,Public lands and natural resources,['B001236'],1,2,0
s1537-115,s,Animals,"['C000174', 'C001088', 'F000062', 'F000457', 'L000174', 'M000133', 'M001176', 'N000032', 'P000449', 'U000039', 'V000128', 'W000802']",12,13,0
s3260-115,s,Taxation,"['B000944', 'D000622', 'H001076', 'K000367', 'M001111', 'V000128']",6,7,0
s1153-115,s,Armed forces and national security,['M000934'],1,2,0
s3604-115,s,Transportation and public works,"['B001135', 'K000383', 'R000584', 'S001181', 'V000128']",5,6,0
s3436-115,s,Labor and employment,"['B001230', 'C000127', 'C001113', 'D000622', 'F000062', 'G000555', 'H001075', 'H001076', 'H001069', 'H001042', 'K000384', 'K000367', 'M001170', 'M001176', 'S000033', 'S001181', 'S001203', 'S000770', 'W000817']",19,20,0
s794-115,s,Health,"['B001236', 'C000174', 'C001075', 'C001088', 'C001113', 'C001095', 'D000607', 'D000622', 'G000386', 'H001079', 'J000300', 'K000393', 'M000934', 'P000603', 'P000595', 'R000307', 'R000605', 'R000595', 'S001181', 'S000770', 'T000250', 'W000437']",22,23,0
s1361-115,s,Health,"['B000944', 'B001135', 'C001075', 'C000567', 'C001088', 'C001095', 'D000618', 'D000607', 'F000463', 'G000562', 'G000555', 'G000386', 'H001042', 'K000383', 'K000367', 'M000133', 'R000584', 'R000605', 'S000770', 'T000464', 'W000817']",21,22,0
s2722-115,s,Environmental protection,['C001113'],1,2,0
s552-115,s,Finance and financial sector,"['B001277', 'C001070', 'C001113', 'D000563', 'F000062', 'F000457', 'G000555', 'H001069', 'H001042', 'L000174', 'M000639', 'M001176', 'M001111', 'R000122', 'S000033', 'S001194', 'V000128', 'W000805', 'W000817', 'W000802', 'W000779']",21,22,0
s2510-115,s,"Science, technology, communications",[],0,1,0
s760-115,s,Government operations and politics,"['B001267', 'C001088', 'G000562', 'P000595', 'P000449', 'S001197']",6,7,0
s1395-115,s,Public lands and natural resources,['C001088'],1,2,0
s22-115,s,Public lands and natural resources,[],0,1,0
s2174-115,s,Armed forces and national security,"['B001236', 'D000607', 'D000622', 'H001076', 'H001061', 'N000032', 'P000595', 'R000595', 'W000805', 'W000817']",10,11,0
s2948-115,s,Government operations and politics,"['C000174', 'J000293']",2,3,0
s304-115,s,Native Americans,['R000605'],1,2,0
s2346-115,s,Water resources development,"['C001047', 'M001183']",2,3,0
s3294-115,s,Education,"['B001267', 'Y000064']",2,3,0
s136-115,s,Public lands and natural resources,['P000612'],1,2,0
s3409-115,s,Armed forces and national security,['S001194'],1,2,0
s599-115,s,Public lands and natural resources,['Y000064'],1,2,0
s1950-115,s,"Science, technology, communications",['B001288'],1,2,0
s1508-115,s,Public lands and natural resources,"['C000127', 'C000880', 'H000338', 'M001111', 'R000584', 'W000779']",6,7,0
s2983-115,s,Transportation and public works,"['J000300', 'W000779']",2,3,0
s935-115,s,Environmental protection,"['C001098', 'H001041', 'L000577']",3,4,0
s2379-115,s,Armed forces and national security,"['C000141', 'G000555', 'M001111', 'P000612', 'T000464', 'W000817']",6,7,0
s109-115,s,Health,"['B001230', 'B001261', 'B001267', 'B001277', 'B000575', 'B001236', 'B000944', 'B001135', 'C000127', 'C001047', 'C000141', 'C001070', 'C000567', 'C001035', 'C001088', 'C001095', 'D000618', 'D000607', 'D000622', 'E000285', 'E000295', 'F000457', 'G000562', 'G000555', 'H001076', 'H001046', 'H001069', 'H001042', 'H001061', 'H001079', 'J000300', 'K000393', 'K000383', 'K000367', 'M001183', 'M000133', 'M001176', 'M000934', 'N000032', 'P000595', 'R000307', 'R000605', 'S001184', 'S001181', 'S001203', 'S000770', 'S001202', 'T000464', 'T000250', 'T000476', 'U000039', 'V000128', 'W000817', 'W000437', 'Y000064']",55,56,0
s3099-115,s,Health,"['B001277', 'F000062', 'G000555']",3,4,0
s2977-115,s,Transportation and public works,['M000934'],1,2,0
s1198-115,s,Armed forces and national security,"['H001076', 'N000032', 'R000595']",3,4,0
s2341-115,s,Armed forces and national security,"['B001277', 'B001288', 'B001236', 'B000944', 'H001075', 'K000367', 'R000122', 'S000033', 'S001181', 'S000770', 'W000817', 'W000779']",12,13,0
s3293-115,s,Transportation and public works,[],0,1,0
s131-115,s,Public lands and natural resources,['S001198'],1,2,0
s2173-115,s,Social welfare,"['C001035', 'G000555', 'H001075', 'H001076', 'R000605']",5,6,0
s303-115,s,Immigration,"['C000174', 'D000563', 'H001075', 'H001042', 'M000133', 'M001176', 'S000033', 'S001194']",8,9,0
s2517-115,s,Education,"['L000577', 'S001184']",2,3,0
s767-115,s,Environmental protection,"['B001277', 'B001288', 'C000141', 'C000174', 'C001088', 'C001113', 'D000563', 'F000062', 'F000457', 'G000555', 'H001075', 'H001076', 'H001046', 'H001042', 'K000367', 'L000174', 'M000133', 'M000639', 'M001176', 'M001169', 'M001111', 'N000032', 'R000122', 'S000033', 'S001194', 'S001181', 'U000039', 'V000128', 'W000817', 'W000802', 'W000779']",31,32,0
s1392-115,s,Crime and law enforcement,[],0,1,0
s25-115,s,Taxation,"['G000555', 'K000367', 'S001194']",3,4,0
s2725-115,s,Government operations and politics,['V000128'],1,2,0
s555-115,s,,[],0,1,0
s3431-115,s,International affairs,"['C001098', 'R000595']",2,3,0
s793-115,s,Animals,"['B001230', 'B001267', 'B001277', 'B001236', 'B000944', 'C000127', 'C001047', 'C000141', 'C000174', 'C001070', 'C001088', 'C001113', 'D000622', 'D000563', 'F000062', 'G000555', 'H001075', 'H001046', 'H001042', 'I000024', 'K000383', 'L000174', 'M000303', 'M001170', 'M000639', 'M001176', 'M001169', 'M001111', 'P000595', 'P000449', 'S000033', 'S001194', 'S001181', 'T000464', 'U000039', 'V000128', 'W000802', 'W000437', 'W000779']",39,40,0
s1366-115,s,Armed forces and national security,"['B001230', 'B001267', 'B001277', 'B001288', 'B000944', 'C000141', 'C000174', 'C001070', 'C001088', 'D000563', 'F000062', 'F000457', 'G000555', 'H001046', 'H001042', 'K000384', 'L000174', 'M000133', 'M000639', 'M001176', 'M001169', 'P000595', 'S000033', 'S000148', 'S001181', 'S000770', 'T000464', 'U000039', 'W000817', 'W000802', 'W000779']",31,32,0
s1968-115,s,"Science, technology, communications",['C001047'],1,2,0
s1154-115,s,Armed forces and national security,"['B001277', 'B001135', 'C000567', 'G000555', 'H001042', 'M000934', 'W000437']",7,8,0
s3603-115,s,Transportation and public works,['M000639'],1,2,0
s1530-115,s,Health,"['B001261', 'B001267', 'C001075']",3,4,0
s3267-115,s,Health,['S000148'],1,2,0
s2187-115,s,Commerce,[],0,1,0
s3055-115,s,Emergency management,[],0,1,0
s1702-115,s,Animals,['C000880'],1,2,0
s2528-115,s,International affairs,"['B001230', 'C001056', 'L000575', 'M001183']",4,5,0
s758-115,s,Armed forces and national security,"['N000032', 'R000595', 'T000476']",3,4,0
s2970-115,s,"Science, technology, communications","['L000174', 'M000934']",2,3,0
s932-115,s,Economics and public finance,"['J000293', 'L000577', 'P000603', 'P000612']",4,5,0
s2984-115,s,Education,[],0,1,0
s3258-115,s,Foreign trade and international finance,['J000300'],1,2,0
s1957-115,s,Energy,[],0,1,0
s1359-115,s,"Arts, culture, religion","['C001047', 'C000141', 'C000174', 'W000817']",4,5,0
s13-115,s,Taxation,"['B001230', 'F000062', 'W000817']",3,4,0
s2521-115,s,Crime and law enforcement,"['C001035', 'G000359', 'H001076', 'M001170']",4,5,0
s751-115,s,Public lands and natural resources,"['A000360', 'B000944', 'C001047', 'C001070', 'C001035', 'C001088', 'D000622', 'F000062', 'H001075', 'H001076', 'K000384', 'K000383', 'K000367', 'M001183', 'M001176', 'M001111', 'N000032', 'P000449', 'S001194', 'S001181', 'W000779']",21,22,0
s2713-115,s,Agriculture and food,"['F000444', 'T000461']",2,3,0
s563-115,s,Finance and financial sector,"['C000567', 'C001095', 'D000607', 'E000295', 'H001079', 'P000612', 'P000449', 'R000595', 'S001184', 'T000464']",10,11,0
s1196-115,s,Armed forces and national security,"['B000575', 'B001236', 'C001047', 'C001056', 'C001095', 'C001098', 'G000562', 'G000359', 'H001069', 'H001042', 'I000024', 'J000293', 'K000383', 'M001183', 'M000934', 'M001153', 'P000603', 'P000612', 'P000595', 'P000449', 'R000307', 'R000595', 'S001194', 'S001202', 'T000476', 'T000461', 'W000437']",27,28,0
s2377-115,s,Government operations and politics,['P000449'],1,2,1
s107-115,s,International affairs,"['B001261', 'B000575', 'B001135', 'C001047', 'C000567', 'C001056', 'C000880', 'D000618', 'F000463', 'G000359', 'H000338', 'H001061', 'I000024', 'J000293', 'K000393', 'L000577', 'M000303', 'M000355', 'R000584', 'R000307', 'R000605', 'S001198', 'T000250', 'W000437']",24,25,0
s3097-115,s,Taxation,[],0,1,0
s2145-115,s,Immigration,"['B001288', 'C000141', 'F000457', 'H001042', 'M000133', 'M001176', 'V000128']",7,8,0
s335-115,s,Energy,"['C001047', 'C001056', 'C000880', 'C001098', 'H000338', 'L000575', 'L000577', 'R000595']",8,9,0
s2979-115,s,Economics and public finance,"['C001098', 'E000295', 'F000444', 'J000293', 'K000393', 'L000575', 'P000603', 'P000612', 'R000595', 'S001197', 'T000461']",11,12,0
s3251-115,s,Government operations and politics,"['L000575', 'P000603']",2,3,0
s2383-115,s,Crime and law enforcement,"['B001135', 'C001075', 'C001088', 'F000444', 'G000359', 'G000386', 'K000367', 'S001181', 'W000805', 'W000802']",10,11,0
s1506-115,s,Transportation and public works,[],0,1,0
s1734-115,s,Government operations and politics,[],0,1,0
s3063-115,s,Health,"['B000575', 'B001236', 'C001047', 'C001095', 'C000880', 'C001098', 'D000607', 'F000463', 'G000562', 'G000386', 'H001069', 'H001061', 'I000024', 'I000055', 'J000293', 'J000300', 'K000393', 'P000449', 'R000605', 'S001184', 'T000476', 'W000437', 'Y000064']",23,24,0
s1350-115,s,Labor and employment,"['B001261', 'B001236', 'E000285', 'F000444', 'G000359', 'H000338', 'I000055', 'L000575', 'M000303', 'M000355', 'P000612', 'R000584', 'R000307', 'S001184', 'S001202', 'T000250', 'W000437', 'Y000064']",18,19,0
s3407-115,s,Agriculture and food,['J000300'],1,2,0
s3635-115,s,Crime and law enforcement,['L000174'],1,2,0
