bioguide_id,name,gender,type,state,district,party,start,end,days_in_office,overall_bills_sponsored,overall_pass_rate
P000096,Bill Pascrell,M,rep,NJ,9,Democrat,2017-01-03,2019-01-03,730,17,0.0
P000197,Nancy Pelosi,F,rep,CA,12,Democrat,2017-01-03,2019-01-03,730,1,0.0
P000593,Ed Perlmutter,M,rep,CO,7,Democrat,2017-01-03,2019-01-03,730,9,0.0
P000258,Collin Peterson,M,rep,MN,7,Democrat,2017-01-03,2019-01-03,730,9,0.0
P000597,Chellie Pingree,F,rep,ME,1,Democrat,2017-01-03,2019-01-03,730,13,0.0
P000599,Bill Posey,M,rep,FL,8,Republican,2017-01-03,2019-01-03,730,30,0.0
P000523,David Price,M,rep,NC,4,Democrat,2017-01-03,2019-01-03,730,17,0.0
Q000023,Mike Quigley,M,rep,IL,5,Democrat,2017-01-03,2019-01-03,730,22,0.0
R000585,Tom Reed,M,rep,NY,23,Republican,2017-01-03,2019-01-03,730,31,0.0
R000588,Cedric Richmond,M,rep,LA,2,Democrat,2017-01-03,2019-01-03,730,16,0.0
R000591,Martha Roby,F,rep,AL,2,Republican,2017-01-03,2019-01-03,730,7,0.0
R000582,David Roe,M,rep,TN,1,Republican,2017-01-03,2019-01-03,730,37,0.02702702702702703
R000395,Harold Rogers,M,rep,KY,5,Republican,2017-01-03,2019-01-03,730,6,0.0
R000575,Mike Rogers,M,rep,AL,3,Republican,2017-01-03,2019-01-03,730,8,0.0
R000486,Lucille Roybal-Allard,F,rep,CA,40,Democrat,2017-01-03,2019-01-03,730,14,0.0
R000576,C. Ruppersberger,M,rep,MD,2,Democrat,2017-01-03,2019-01-03,730,6,0.0
R000515,Bobby Rush,M,rep,IL,1,Democrat,2017-01-03,2019-01-03,730,26,0.0
R000577,Tim Ryan,M,rep,OH,13,Democrat,2017-01-03,2019-01-03,730,26,0.0
S001168,John Sarbanes,M,rep,MD,3,Democrat,2017-01-03,2019-01-03,730,8,0.0
S001176,Steve Scalise,M,rep,LA,1,Republican,2017-01-03,2019-01-03,730,8,0.0
S001145,Janice Schakowsky,F,rep,IL,9,Democrat,2017-01-03,2019-01-03,730,33,0.0
S001150,Adam Schiff,M,rep,CA,28,Democrat,2017-01-03,2019-01-03,730,16,0.0
S001180,Kurt Schrader,M,rep,OR,5,Democrat,2017-01-10,2019-01-03,723,15,0.0
S001183,David Schweikert,M,rep,AZ,6,Republican,2017-01-03,2019-01-03,730,12,0.0
S001189,Austin Scott,M,rep,GA,8,Republican,2017-01-03,2019-01-03,730,9,0.1111111111111111
S001157,David Scott,M,rep,GA,13,Democrat,2017-01-03,2019-01-03,730,8,0.0
S000185,Robert Scott,M,rep,VA,3,Democrat,2017-01-03,2019-01-03,730,21,0.047619047619047616
S000244,F. Sensenbrenner,M,rep,WI,5,Republican,2017-01-03,2019-01-03,730,36,0.05555555555555555
S000248,José Serrano,M,rep,NY,15,Democrat,2017-01-03,2019-01-03,730,22,0.0
S001185,Terri Sewell,F,rep,AL,7,Democrat,2017-01-03,2019-01-03,730,8,0.0
S000344,Brad Sherman,M,rep,CA,30,Democrat,2017-01-03,2019-01-03,730,11,0.0
S000364,John Shimkus,M,rep,IL,15,Republican,2017-01-03,2019-01-03,730,6,0.0
S001148,Michael Simpson,M,rep,ID,2,Republican,2017-01-03,2019-01-03,730,15,0.06666666666666667
S001165,Albio Sires,M,rep,NJ,8,Democrat,2017-01-03,2019-01-03,730,14,0.0
S000510,Adam Smith,M,rep,WA,9,Democrat,2017-01-03,2019-01-03,730,14,0.0
S001172,Adrian Smith,M,rep,NE,3,Republican,2017-01-03,2019-01-03,730,13,0.0
S000522,Christopher Smith,M,rep,NJ,4,Republican,2017-01-03,2019-01-03,730,47,0.06382978723404255
S001175,Jackie Speier,F,rep,CA,14,Democrat,2017-01-03,2019-01-03,730,29,0.0
S001187,Steve Stivers,M,rep,OH,15,Republican,2017-01-03,2019-01-03,730,20,0.05
S001156,Linda Sánchez,F,rep,CA,38,Democrat,2017-01-03,2019-01-03,730,22,0.0
T000193,Bennie Thompson,M,rep,MS,2,Democrat,2017-01-03,2019-01-03,730,19,0.0
T000460,Mike Thompson,M,rep,CA,5,Democrat,2017-01-03,2019-01-03,730,24,0.041666666666666664
T000467,Glenn Thompson,M,rep,PA,5,Republican,2017-01-03,2019-01-03,730,15,0.06666666666666667
T000238,Mac Thornberry,M,rep,TX,13,Republican,2017-01-03,2019-01-03,730,12,0.25
T000470,Scott Tipton,M,rep,CO,3,Republican,2017-01-03,2019-01-03,730,38,0.02631578947368421
