bioguide_id,name,gender,type,state,district,party,start,end,days_in_office
C000754,Jim Cooper,M,rep,TN,5,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001059,Jim Costa,M,rep,CA,16,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001069,Joe Courtney,M,rep,CT,2,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001087,Eric Crawford,M,rep,AR,1,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
C001063,Henry Cuellar,M,rep,TX,28,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
D000096,Danny Davis,M,rep,IL,7,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
D000598,Susan Davis,F,rep,CA,53,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
D000191,Peter DeFazio,M,rep,OR,4,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
D000197,Diana DeGette,F,rep,CO,1,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
D000216,Rosa DeLauro,F,rep,CT,3,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
D000616,Scott DesJarlais,M,rep,TN,4,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
D000610,Theodore Deutch,M,rep,FL,22,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
D000600,Mario Diaz-Balart,M,rep,FL,25,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
D000399,Lloyd Doggett,M,rep,TX,35,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
D000482,Michael Doyle,M,rep,PA,14,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
D000615,Jeff Duncan,M,rep,SC,3,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
E000179,Eliot Engel,M,rep,NY,16,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
E000215,Anna Eshoo,F,rep,CA,18,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
F000459,Charles Fleischmann,M,rep,TN,3,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
F000461,Bill Flores,M,rep,TX,17,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
F000449,Jeff Fortenberry,M,rep,NE,1,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
F000450,Virginia Foxx,F,rep,NC,5,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
F000455,Marcia Fudge,F,rep,OH,11,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
G000559,John Garamendi,M,rep,CA,3,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
G000563,Bob Gibbs,M,rep,OH,7,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
G000552,Louie Gohmert,M,rep,TX,1,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
G000565,Paul Gosar,M,rep,AZ,4,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
G000377,Kay Granger,F,rep,TX,12,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
G000546,Sam Graves,M,rep,MO,6,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
G000560,Tom Graves,M,rep,GA,14,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
G000553,Al Green,M,rep,TX,9,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
G000568,H. Griffith,M,rep,VA,9,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
G000551,Raúl Grijalva,M,rep,AZ,3,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
G000558,Brett Guthrie,M,rep,KY,2,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
H001052,Andy Harris,M,rep,MD,1,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
H001053,Vicky Hartzler,F,rep,MO,4,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
H000324,Alcee Hastings,M,rep,FL,20,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
H001056,Jaime Herrera Beutler,F,rep,WA,3,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
H001038,Brian Higgins,M,rep,NY,26,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
H001047,James Himes,M,rep,CT,4,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
H000874,Steny Hoyer,M,rep,MD,5,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
H001058,Bill Huizenga,M,rep,MI,2,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
H001048,Duncan Hunter,M,rep,CA,50,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
J000032,Sheila Jackson Lee,F,rep,TX,18,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
J000292,Bill Johnson,M,rep,OH,6,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
J000126,Eddie Johnson,F,rep,TX,30,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
J000288,Henry Johnson,M,rep,GA,4,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
J000289,Jim Jordan,M,rep,OH,4,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
K000009,Marcy Kaptur,F,rep,OH,9,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
K000375,William Keating,M,rep,MA,9,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
K000376,Mike Kelly,M,rep,PA,3,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
K000188,Ron Kind,M,rep,WI,3,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
K000210,Peter King,M,rep,NY,2,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
K000362,Steve King,M,rep,IA,4,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
K000378,Adam Kinzinger,M,rep,IL,16,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000564,Doug Lamborn,M,rep,CO,5,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000559,James Langevin,M,rep,RI,2,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000560,Rick Larsen,M,rep,WA,2,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000557,John Larson,M,rep,CT,1,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000566,Robert Latta,M,rep,OH,5,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000551,Barbara Lee,F,rep,CA,13,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000287,John Lewis,M,rep,GA,5,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000563,Daniel Lipinski,M,rep,IL,3,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000565,David Loebsack,M,rep,IA,2,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000397,Zoe Lofgren,F,rep,CA,19,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000576,Billy Long,M,rep,MO,7,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000480,Nita Lowey,F,rep,NY,17,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000491,Frank Lucas,M,rep,OK,3,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000569,Blaine Luetkemeyer,M,rep,MO,3,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000570,Ben Luján,M,rep,NM,3,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
L000562,Stephen Lynch,M,rep,MA,8,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M000087,Carolyn Maloney,F,rep,NY,12,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M001158,Kenny Marchant,M,rep,TX,24,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M001163,Doris Matsui,F,rep,CA,6,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M001165,Kevin McCarthy,M,rep,CA,23,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M001157,Michael McCaul,M,rep,TX,10,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M001177,Tom McClintock,M,rep,CA,4,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M001143,Betty McCollum,F,rep,MN,4,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M000312,James McGovern,M,rep,MA,2,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M001156,Patrick McHenry,M,rep,NC,10,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M001180,David McKinley,M,rep,WV,1,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M001159,Cathy McMorris Rodgers,F,rep,WA,5,Republican,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M001166,Jerry McNerney,M,rep,CA,9,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M001137,Gregory Meeks,M,rep,NY,5,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
M001160,Gwen Moore,F,rep,WI,4,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
N000002,Jerrold Nadler,M,rep,NY,10,Democrat,2017-01-03,2019-01-03,730 days 00:00:00.000000000
